title,make,model,year,condition,transmission,price
Mercedes-Benz B-Class 2009 Gray,Mercedes-Benz,B-Class,2009,Local used,Automatic,4000000.0
Mercedes-Benz C300 2008 Gray,Mercedes-Benz,C300,2008,Local used,Automatic,7500000.0
Audi SQ5 3.0T Premium Plus AWD 2017 Gray,Audi,SQ5 3,2017,Foreign used,Automatic,33250000.0
Audi SQ5 3.0T Premium Plus AWD 2017 White,Audi,SQ5 3,2017,Foreign used,Automatic,33250000.0
Toyota Corolla 2011 Blue,Toyota,Corolla,2011,Local used,Automatic,7800000.0
Toyota RAV4 2020 White,Toyota,RAV4,2020,Foreign used,Automatic,44000000.0
Mercedes-Benz C300 2010 White,Mercedes-Benz,C300,2010,Foreign used,Automatic,7000000.0
Hyundai Santa Fe Limited 4dr SUV AWD (3.3L 6cyl 6A) 2014 White,Hyundai,Santa Fe,2014,Foreign used,Automatic,19000000.0
Mercedes-Benz GLC-Class 2016 Black,Mercedes-Benz,GLC-Class,2016,Foreign used,Automatic,31500000.0
Volkswagen Jetta 2010 Silver,Volkswagen,Jetta,2010,Local used,Automatic,7500000.0
Mercedes-Benz S-Class S 550 2008 Gray,Mercedes-Benz,S-Class S,2008,Foreign used,Automatic,18500000.0
Hyundai Elantra 2013 Black,Hyundai,Elantra,2013,Foreign used,Automatic,14500000.0
Lexus ES 350 2009 Black,Lexus,ES 350,2009,Foreign used,Automatic,13000000.0
Mercedes-Benz C400 2014 White,Mercedes-Benz,C400,2014,Local used,Automatic,30000000.0
Toyota Camry 2016 Black,Toyota,Camry,2016,Local used,Automatic,17000000.0
Mercedes-Benz GLA-Class 2016 Black,Mercedes-Benz,GLA-Class,2016,Local used,Automatic,14500000.0
Lexus RX 350 2010 Silver,Lexus,RX 350,2010,Local used,Automatic,13800000.0
Lexus RX 350 2020 Gray,Lexus,RX 350,2020,Foreign used,Automatic,48000000.0
Mercedes-Benz GLE-Class GLE 350 2017 White,Mercedes-Benz,GLE-Class GLE,2017,Foreign used,Automatic,38500000.0
Mercedes-Benz M Class ML350 4dr SUV (3.5L 6cyl 7A) 2015 Black,Mercedes-Benz,M Class,2015,Foreign used,Automatic,24500000.0
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2012 Gray,Toyota,Camry XLE,2012,Foreign used,Automatic,16500000.0
Peugeot 206 2005 Blue,Peugeot,206,2005,Local used,Manual,4000000.0
Hyundai Elantra 2013 White,Hyundai,Elantra,2013,Local used,Automatic,9500000.0
