title,make,model,year,condition,transmission,price
Mercedes-Benz E350 2013 Black,Mercedes-Benz,E350,2013,foreign used,automatic,"₦ 15,500,000"
Toyota Corolla 2012 Red,Toyota,Corolla,2012,foreign used,automatic,"₦ 12,500,000"
Toyota RAV4 Sport V6 4x4 2009 Red,Toyota,RAV4 Sport,2009,foreign used,automatic,"₦ 12,500,000"
Mercedes-Benz GLE-Class GLE 350 2018 White,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 45,500,000"
Lexus ES 350 FWD 2013 Black,Lexus,ES 350,2013,foreign used,automatic,"₦ 21,000,000"
Acura MDX Premium 4dr SUV AWD (3.5L 6cyl 5A) 2005 Black,Acura,MDX Premium,2005,local used,automatic,"₦ 4,200,000"
Mercedes-Benz GLE-Class GLE 350 2017 Blue,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 41,000,000"
Hyundai Sonata 2011 Blue,Hyundai,Sonata,2011,foreign used,automatic,"₦ 11,000,000"
Honda Accord Sport 2018 Black,Honda,Accord Sport,2018,local used,automatic,"₦ 18,500,000"
Lexus LX 570 2010 Black,Lexus,LX 570,2010,local used,automatic,"₦ 31,000,000"
Kia Sorento SX V6 2013 Gray,Kia,Sorento SX,2013,foreign used,automatic,"₦ 15,500,000"
Toyota Yaris 2008 Silver,Toyota,Yaris,2008,foreign used,manual,"₦ 5,900,000"
Kia Picanto 2007 Silver,Kia,Picanto,2007,local used,automatic,"₦ 4,000,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2022 Black,Mercedes-Benz,GLE-Class AMG,2022,foreign used,automatic,"₦ 230,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 28,500,000"
Lexus RX 2012 Black,Lexus,RX,2012,local used,automatic,"₦ 16,500,000"
Honda Accord 2007 Gold,Honda,Accord,2007,local used,automatic,"₦ 2,750,000"
Toyota Camry SE Limited Edition 4dr Sedan (2.5L 4cyl 6A) 2012 Red,Toyota,Camry SE,2012,local used,automatic,"₦ 11,850,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2012 Gray,Toyota,Camry SE,2012,local used,automatic,"₦ 10,300,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,foreign used,automatic,"₦ 14,900,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6AM) 2010 Silver,Toyota,Camry SE,2010,foreign used,automatic,"₦ 11,000,000"
Honda Accord 2013 Black,Honda,Accord,2013,local used,automatic,"₦ 11,800,000"
Toyota Camry SE 4rd Sedan (2.4L 4cyl 5M) 2004 Gold,Toyota,Camry SE,2004,local used,automatic,"₦ 2,200,000"
Toyota Corolla LE ECO w/Package 1 4dr Sedan (1.8L 4cyl CVT) 2017 Gray,Toyota,Corolla LE,2017,foreign used,,"₦ 17,500,000"
Lexus ES 350 2007 Black,Lexus,ES 350,2007,foreign used,automatic,"₦ 11,500,000"
Toyota Highlander Limited V6 2005 Gold,Toyota,Highlander Limited,2005,foreign used,automatic,"₦ 12,000,000"
Honda CR-V 2013 White,Honda,CR-V,2013,local used,automatic,"₦ 12,500,000"
Honda Accord 2010 Maroon,Honda,Accord,2010,local used,automatic,"₦ 7,500,000"
Hyundai Sonata 2014 Gray,Hyundai,Sonata,2014,foreign used,automatic,"₦ 11,800,000"
Mercedes-Benz C300 2008 White,Mercedes-Benz,C300,2008,local used,automatic,"₦ 8,600,000"
Peugeot 307 2007 Gray,Peugeot,307,2007,local used,manual,"₦ 4,500,000"
Acura MDX 2007 Silver,Acura,MDX,2007,local used,automatic,"₦ 5,880,000"
BMW 3 Series 2007 White,BMW,3 Series,2007,local used,automatic,"₦ 6,700,000"
Lexus ES 330 Sedan 2004 Silver,Lexus,ES 330,2004,foreign used,automatic,"₦ 9,000,000"
Toyota Camry 2020 Black,Toyota,Camry,2020,local used,automatic,"₦ 24,000,000"
Honda Accord 2017 Blue,Honda,Accord,2017,foreign used,automatic,"₦ 18,200,000"
Lexus IS 2014 Black,Lexus,IS,2014,foreign used,automatic,"₦ 19,200,000"
Hyundai Sonata Sport 2019 Black,Hyundai,Sonata Sport,2019,foreign used,automatic,"₦ 21,300,000"
Peugeot 307 2007 Maroon,Peugeot,307,2007,local used,automatic,"₦ 5,900,000"
Toyota Venza 2013 Silver,Toyota,Venza,2013,local used,automatic,"₦ 15,800,000"
Honda Accord 2007 Gray,Honda,Accord,2007,local used,automatic,"₦ 4,300,000"
Toyota Matrix 2007 Blue,Toyota,Matrix,2007,local used,automatic,"₦ 5,900,000"
Toyota Venza 2013 Black,Toyota,Venza,2013,foreign used,automatic,"₦ 19,000,000"
Acura RDX Base FWD 2016 Black,Acura,RDX Base,2016,local used,automatic,"₦ 20,160,000"
Lexus RX 350 2018 White,Lexus,RX 350,2018,foreign used,automatic,"₦ 41,000,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2013 Black,Toyota,Corolla S,2013,foreign used,automatic,"₦ 13,300,000"
Mercedes-Benz B-Class 2009 Gray,Mercedes-Benz,B-Class,2009,local used,automatic,"₦ 4,000,000"
Mercedes-Benz C300 2008 Gray,Mercedes-Benz,C300,2008,local used,automatic,"₦ 7,500,000"
Audi SQ5 3.0T Premium Plus AWD 2017 Gray,Audi,SQ5 3,2017,foreign used,automatic,"₦ 33,250,000"
Audi SQ5 3.0T Premium Plus AWD 2017 White,Audi,SQ5 3,2017,foreign used,automatic,"₦ 33,250,000"
Toyota Corolla 2011 Blue,Toyota,Corolla,2011,local used,automatic,"₦ 7,800,000"
Toyota RAV4 2020 White,Toyota,RAV4,2020,foreign used,automatic,"₦ 44,000,000"
